番号,ポケモン,わざ1,わざ2,わざ3,わざ4,もちもの,せいかく,努力値,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ
384,ラフレシア,ギガドレイン,ヘドロばくだん,ねむりごな,ねをはる,おおきなねっこ,ひかえめ,ぼうぎょ/とくこう,141,81,127,156,101,61
385,ウツボット,リーフストーム,ヘドロばくだん,ねむりごな,いえき,ウタンのみ,ひかえめ,HP/とくこう,177,104,76,156,71,81
386,マルマイン,１０まんボルト,スピードスター,でんじは,ひかりのかべ,カゴのみ,ひかえめ,とくこう/すばやさ,126,54,81,134,91,182
387,ルンパッパ,たきのぼり,はっぱカッター,ドレインパンチ,つるぎのまい,ちからのハチマキ,いじっぱり,こうげき/とくぼう,146,123,81,90,142,81
388,ダーテング,タネばくだん,だましうち,シザークロス,ねこだまし,キーのみ,ようき,こうげき/すばやさ,156,142,71,90,71,134
389,バクオング,ハイパーボイス,じんつうりき,みずのはどう,いちゃもん,ヨプのみ,ひかえめ,HP/とくこう,201,91,74,146,74,79
390,オニゴーリ,ゆきなだれ,しっぺがえし,ジャイロボール,こおりのつぶて,くろいてっきゅう,ゆうかん,HP/ぼうぎょ/とくぼう,167,100,112,91,112,81
391,ミミロップ,おんがえし,ドレインパンチ,あまえる,ミラーコート,きあいのハチマキ,ようき,こうげき/すばやさ,131,118,95,58,107,161
392,ユキメノコ,れいとうビーム,あやしいかぜ,あやしいひかり,メロメロ,クラボのみ,おくびょう,とくこう/すばやさ,136,81,81,122,81,167
393,エテボース,ダブルアタック,シャドークロー,かわらわり,はたきおとす,ちからのハチマキ,ようき,こうげき/すばやさ,141,142,77,63,77,172
394,スリーパー,サイコカッター,なげつける,さいみんじゅつ,トリックルーム,くろいてっきゅう,ゆうかん,こうげき/とくぼう,151,126,81,84,157,70
395,ゴローニャ,じしん,いわなだれ,ふいうち,すなあらし,きあいのハチマキ,わんぱく,こうげき/ぼうぎょ,146,152,189,59,76,56
396,サイドン,じしん,いわなだれ,かみくだく,こわいかお,イトケのみ,いじっぱり,こうげき/ぼうぎょ,171,189,162,50,56,51
397,ヤドラン,サイコキネシス,なみのり,めいそう,あくび,カゴのみ,ずぶとい,ぼうぎょ/とくこう,161,77,167,142,91,41
398,マタドガス,ヘドロばくだん,あくのはどう,でんげきは,おんねん,ウタンのみ,ずぶとい,ぼうぎょ/とくこう,131,90,178,127,81,71
399,ガルーラ,すてみタックル,かみくだく,きしかいせい,こらえる,カムラのみ,ようき,こうげき/すばやさ,171,137,91,45,91,145
400,ケンタロス,あばれる,しねんのずつき,おいうち,こわいかお,キーのみ,ようき,こうげき/すばやさ,141,142,106,45,81,167
401,フーディン,サイコキネシス,シャドーボール,めいそう,みらいよち,ひかりのこな,おくびょう,とくこう/すばやさ,121,54,56,177,96,178
402,ヤドキング,サイコキネシス,しおみず,あくび,トリックルーム,かいがらのすず,れいせい,HP/ぼうぎょ/とくぼう,182,86,112,122,142,36
403,ミルタンク,おんがえし,アイアンヘッド,でんじは,ミルクのみ,クラボのみ,わんぱく,こうげき/ぼうぎょ,161,122,161,45,81,111
404,チルタリス,ドラゴンクロー,つばめがえし,りゅうのまい,ねむる,カゴのみ,しんちょう,こうげき/とくぼう,141,112,101,72,161,91
405,ドクロッグ,どくづき,かわらわり,シザークロス,はたきおとす,くろいヘドロ,いじっぱり,こうげき/すばやさ,149,162,76,87,76,127
406,ユキノオー,ギガドレイン,れいとうビーム,みずのはどう,くさぶえ,ラムのみ,おだやか,HP/とくこう,187,92,86,134,105,71
407,ニドクイン,じしん,どくどくのキバ,つばめがえし,あまえる,ウタンのみ,いじっぱり,HP/こうげき,187,136,98,77,96,87
408,ニドキング,じしん,どくづき,にどげり,カウンター,きあいのハチマキ,わんぱく,HP/こうげき,178,134,96,86,86,96
409,ユレイドル,げんしのちから,エナジーボール,あやしいひかり,すなあらし,するどいツメ,わんぱく,HP/ぼうぎょ/とくぼう,178,92,141,82,139,54
410,アーマルド,シザークロス,いわなだれ,じしん,てっぺき,するどいツメ,いじっぱり,こうげき/とくぼう,141,183,111,72,122,56
411,トリデプス,アイアンヘッド,ストーンエッジ,いばる,ちょうはつ,きあいのハチマキ,わんぱく,ぼうぎょ/とくぼう,126,63,231,52,180,41
412,フローゼル,たきのぼり,れいとうパンチ,でんこうせっか,あまごい,オボンのみ,ようき,こうげき/すばやさ,151,147,66,86,61,172
413,ムウマージ,シャドーボール,パワージェム,マジカルリーフ,おきみやげ,カシブのみ,ひかえめ,とくこう/すばやさ,126,63,71,161,116,147
414,フワライド,あやしいかぜ,エアカッター,バトンタッチ,こらえる,カムラのみ,ひかえめ,HP/とくこう,247,81,55,145,65,91
415,ゴルダック,なみのり,サイコキネシス,あやしいひかり,めいそう,リンドのみ,ひかえめ,HP/とくこう,177,83,89,150,91,96
416,ニョロボン,なみのり,しんくうは,サイコキネシス,かげぶんしん,リンドのみ,ひかえめ,HP/とくこう,187,86,106,123,101,81
417,ギャロップ,だいもんじ,ソーラービーム,にほんばれ,ねむる,カゴのみ,ひかえめ,とくこう/すばやさ,131,99,81,134,91,147
418,ベトベトン,どくづき,かげうち,ちいさくなる,とける,くろいヘドロ,いじっぱり,HP/こうげき,202,161,86,68,111,61
419,ゲンガー,シャドーボール,ヘドロばくだん,うらみ,あやしいひかり,ウタンのみ,おくびょう,とくこう/すばやさ,126,68,71,172,86,167
420,デンリュウ,１０まんボルト,パワージェム,ひかりのかべ,でんじは,シュカのみ,ひかえめ,とくこう/とくぼう,156,77,86,172,132,66
421,ニョロトノ,なみのり,ハイパーボイス,どろばくだん,いばる,のんきのおこう,おだやか,とくこう/とくぼう,156,77,86,132,156,81
422,カイロス,シザークロス,じしん,いわなだれ,つるぎのまい,バコウのみ,いじっぱり,こうげき/ぼうぎょ,131,183,142,59,91,76
423,ハッサム,シザークロス,バレットパンチ,つるぎのまい,バトンタッチ,ひかりのこな,わんぱく,こうげき/ぼうぎょ,136,172,156,59,91,76
424,ヘラクロス,メガホーン,きあいパンチ,いばる,メロメロ,きあいのハチマキ,ようき,こうげき/すばやさ,146,167,86,45,106,139
425,リングマ,きりさく,しっぺがえし,ゆきなだれ,カウンター,きあいのタスキ,ゆうかん,HP/こうげき,187,189,86,86,86,59
426,ヘルガー,ほのおのキバ,かみくだく,ほえる,カウンター,きあいのタスキ,ようき,こうげき/すばやさ,141,132,61,108,91,150
427,ドンファン,じしん,いわなだれ,どくづき,すなあらし,するどいツメ,わんぱく,こうげき/ぼうぎょ,156,162,178,63,71,61
428,ホエルオー,なみのり,れいとうビーム,メロメロ,かげぶんしん,オボンのみ,ひかえめ,HP/とくこう,267,90,56,145,56,71
429,ネンドール,じしん,しねんのずつき,くさむすび,トリックルーム,カシブのみ,ゆうかん,ぼうぎょ/とくぼう,126,89,147,81,132,77
430,ラムパルド,いわなだれ,からげんき,かみくだく,いやなおと,どくどくだま,いじっぱり,HP/こうげき,194,227,71,68,61,69
431,ドータクン,じんつうりき,アイアンヘッド,いわなだれ,トリックルーム,おうじゃのしるし,わんぱく,ぼうぎょ/とくぼう,133,100,173,81,158,44
432,ドラピオン,どくづき,かみくだく,アクアテール,つぼをつく,ラムのみ,いじっぱり,こうげき/ぼうぎょ,136,145,152,63,86,106
433,レントラー,かみなりのキバ,かみくだく,とおぼえ,じゅうでん,するどいツメ,いじっぱり,HP/こうげき,177,178,90,95,90,81
434,キュウコン,だいもんじ,ソーラービーム,メロメロ,にほんばれ,ひかりのこな,おくびょう,とくこう/すばやさ,139,78,86,123,111,156
435,カイリキー,クロスチョップ,じしん,バレットパンチ,みやぶる,ピントレンズ,いじっぱり,HP/こうげき,187,189,91,68,96,66
436,ツボツボ,ストーンエッジ,むしくい,いばる,パワートリック,のんきのおこう,わんぱく,HP/ぼうぎょ/とくぼう,107,21,288,18,262,16
437,ロズレイド,ヘドロばくだん,マジカルリーフ,しびれごな,どろかけ,バコウのみ,おだやか,とくこう/とくぼう,126,72,66,167,161,101
438,ドンカラス,つじぎり,つばめがえし,いちゃもん,ちょうはつ,ソクノのみ,いじっぱり,HP/こうげき,197,183,63,104,63,82
439,ハガネール,じしん,アイアンヘッド,かみくだく,すなあらし,イトケのみ,わんぱく,こうげき/ぼうぎょ,141,127,266,59,76,41
440,マニューラ,つじぎり,れいとうパンチ,いやなおと,ねこだまし,ヨプのみ,いじっぱり,こうげき/すばやさ,136,178,76,50,96,167
441,グライオン,じしん,つばめがえし,つるぎのまい,バトンタッチ,ヤチェのみ,いじっぱり,こうげき/ぼうぎょ,141,150,167,50,86,106
442,ドククラゲ,なみのり,ヘドロばくだん,こごえるかぜ,バリアー,ソクノのみ,おくびょう,とくこう/すばやさ,146,72,76,122,131,156
443,プテラ,いわなだれ,つばめがえし,いちゃもん,ちょうはつ,おうじゃのしるし,ようき,こうげき/すばやさ,146,147,76,63,86,189
444,ポリゴン２,トライアタック,チャージビーム,でんじは,リサイクル,クラボのみ,ひかえめ,HP/とくこう,182,81,101,161,106,71
445,ベロベルト,おんがえし,じしん,はらだいこ,ねむる,カゴのみ,しんちょう,HP/こうげき,207,127,106,81,116,61
446,メガヤンマ,シグナルビーム,エアカッター,みきり,かげぶんしん,バコウのみ,おくびょう,とくこう/すばやさ,152,78,97,158,67,150
447,サーナイト,サイコキネシス,シャドーボール,でんじは,あやしいひかり,ラムのみ,おだやか,とくこう/とくぼう,134,68,76,167,172,91
448,エルレイド,しねんのずつき,かわらわり,でんじは,あやしいひかり,カシブのみ,しんちょう,こうげき/とくぼう,134,167,76,68,172,91
449,ナッシー,ソーラービーム,サイコキネシス,こうごうせい,にほんばれ,ひかりのこな,ひかえめ,HP/とくこう,192,95,96,183,76,66
450,スターミー,なみのり,サイコキネシス,あやしいひかり,でんじは,ラムのみ,おくびょう,とくこう/すばやさ,126,77,96,142,96,172
451,フライゴン,じしん,ドラゴンクロー,はねやすめ,すなあらし,ヤチェのみ,いじっぱり,こうげき/すばやさ,146,156,91,81,91,142
452,シャワーズ,なみのり,れいとうビーム,とける,バトンタッチ,ひかりのこな,ひかえめ,HP/とくこう,227,68,71,167,106,76
453,サンダース,１０まんボルト,でんじは,こうそくいどう,バトンタッチ,きあいのタスキ,おくびょう,とくこう/すばやさ,131,68,71,152,106,189
454,ブースター,ほのおのキバ,ばかぢから,のろい,バトンタッチ,せんせいのツメ,いじっぱり,こうげき/とくぼう,131,189,71,95,152,76
455,エーフィ,サイコキネシス,リフレクター,めいそう,バトンタッチ,ラムのみ,おくびょう,とくこう/すばやさ,131,68,71,172,106,167
456,ブラッキー,しっぺがえし,あやしいひかり,のろい,バトンタッチ,たべのこし,しんちょう,ぼうぎょ/とくぼう,161,76,152,63,189,76
457,リーフィア,リーフブレード,つばめがえし,かげぶんしん,バトンタッチ,ピントレンズ,ようき,こうげき/すばやさ,131,152,141,63,76,150
458,グレイシア,れいとうビーム,みずのはどう,かげぶんしん,バトンタッチ,のんきのおこう,おだやか,とくこう/とくぼう,131,63,121,172,150,76
459,ルカリオ,はどうだん,ラスターカノン,みずのはどう,ほえる,ひかりのこな,ひかえめ,とくこう/すばやさ,136,108,81,172,81,132
460,カバルドン,じしん,かみくだく,なまける,のろい,キーのみ,わんぱく,こうげき/ぼうぎょ,174,154,176,71,83,58
461,ダイノーズ,げんしのちから,マグネットボム,でんじは,まもる,クラボのみ,ゆうかん,こうげき/とくこう,126,106,156,117,161,45
462,ヨノワール,シャドーパンチ,なげつける,おにび,トリックルーム,くろいてっきゅう,ゆうかん,こうげき/ぼうぎょ,111,156,177,76,146,50
463,ボスゴドラ,アイアンヘッド,いわなだれ,すなあらし,いやなおと,せんせいのツメ,いじっぱり,こうげき/ぼうぎょ,136,167,222,63,71,61
464,トドゼルガ,こおりのキバ,アクアテール,いばる,アンコール,ヨプのみ,いじっぱり,HP/こうげき,207,134,101,95,101,76
465,マンムー,じしん,こおりのキバ,つつく,あられ,つめたいいわ,いじっぱり,HP/こうげき,207,189,91,72,71,91
466,ラプラス,アクアテール,ゆきなだれ,こおりのつぶて,のろい,たべのこし,いじっぱり,HP/こうげき,227,139,91,86,106,71
467,クロバット,クロスポイズン,つばめがえし,はねやすめ,さいみんじゅつ,ウタンのみ,ようき,こうげき/すばやさ,151,132,91,72,91,189
468,ジバコイル,１０まんボルト,ミラーショット,ひかりのかべ,リフレクター,ひかりのねんど,ずぶとい,ぼうぎょ/とくこう,136,72,172,172,101,71
469,ドサイドン,がんせきほう,じしん,かみくだく,ほえる,きあいのハチマキ,いじっぱり,こうげき/ぼうぎょ,181,200,172,59,66,51
470,モジャンボ,エナジーボール,ヘドロばくだん,きあいだま,ねむりごな,バコウのみ,ひかえめ,ぼうぎょ/とくこう,166,99,167,167,61,61
471,ポリゴンＺ,トライアタック,シャドーボール,リサイクル,テクスチャー２,オボンのみ,ひかえめ,HP/とくこう,182,81,81,194,86,101
472,ギャラドス,アクアテール,こおりのキバ,かみつく,あまごい,するどいキバ,しんちょう,こうげき/とくぼう,161,167,90,63,156,92
473,カビゴン,おんがえし,いわなだれ,のろい,あくび,たべのこし,いじっぱり,HP/こうげき,257,167,76,68,121,41
474,キングドラ,なみのり,りゅうのはどう,えんまく,あまごい,するどいキバ,おくびょう,とくこう/すばやさ,141,95,106,137,106,139
475,ハピナス,はかいこうせん,シャドーボール,みずのはどう,うたう,ヨプのみ,ひかえめ,HP/とくこう,352,18,21,128,146,66
476,ミロカロス,なみのり,れいとうビーム,メロメロ,さいみんじゅつ,かいがらのすず,ひかえめ,HP/とくこう,192,63,90,156,136,92
477,エレキブル,かみなりパンチ,クロスチョップ,でんじは,いやなおと,ピントレンズ,ようき,こうげき/すばやさ,141,165,78,95,96,150
478,ブーバーン,だいもんじ,きあいだま,おにび,にほんばれ,あついいわ,ひかえめ,とくこう/すばやさ,141,95,78,183,106,125
479,トゲキッス,ゴッドバード,しんそく,ドレインパンチ,はねやすめ,パワフルハーブ,いじっぱり,こうげき/とくぼう,151,101,106,117,157,91
480,ウインディ,ほのおのキバ,しんそく,かみくだく,おにび,ラムのみ,ようき,こうげき/すばやさ,156,152,91,99,91,150
481,カイリュー,ドラゴンクロー,つばめがえし,でんじは,りゅうのまい,ラムのみ,いじっぱり,こうげき/とくぼう,157,193,121,106,142,64
482,バンギラス,いわなだれ,しっぺがえし,ゆきなだれ,のろい,きあいのハチマキ,ゆうかん,こうげき/とくぼう,166,193,121,106,142,64
483,ボーマンダ,ドラゴンクロー,つばめがえし,アクアテール,こわいかお,クラボのみ,いじっぱり,こうげき/すばやさ,161,194,91,108,91,142
484,メタグロス,しねんのずつき,バレットパンチ,からげんき,ひかりのかべ,ひかりのこな,いじっぱり,こうげき/ぼうぎょ,146,194,172,95,101,81
485,ガブリアス,ドラゴンクロー,じしん,かげぶんしん,すなあらし,ひかりのこな,ようき,こうげき/すばやさ,174,172,106,81,96,158
486,ケッキング,からげんき,シャドークロー,なまける,あくび,のんきのおこう,わんぱく,HP/ぼうぎょ,247,171,156,95,76,111
487,フシギバナ,ギガドレイン,ねをはる,やどりぎのタネ,ねむりごな,おおきなねっこ,ずぶとい,HP/ぼうぎょ/とくぼう,169,85,128,113,134,93
488,リザードン,オーバーヒート,ソーラービーム,おにび,にほんばれ,しろいハーブ,ひかえめ,とくこう/すばやさ,146,87,91,168,98,144
489,カメックス,たきのぼり,きあいパンチ,かげぶんしん,アクアリング,かいがらのすず,いじっぱり,HP/こうげき,178,139,113,88,118,91
490,メガニウム,ギガドレイン,やどりぎのタネ,どくどく,みがわり,おおきなねっこ,おだやか,HP/ぼうぎょ/とくぼう,169,85,134,96,147,93
491,バクフーン,ブラストバーン,じしん,きしかいせい,こらえる,カムラのみ,まじめ,こうげき/とくこう,146,128,91,153,98,113
492,オーダイル,アクアテール,ばかぢから,ドラゴンクロー,シャドークロー,しろいハーブ,いじっぱり,こうげき/ぼうぎょ,153,63,144,82,96,91
493,ジュカイン,ギガドレイン,やどりぎのタネ,どくどく,かげぶんしん,たべのこし,おくびょう,とくこう/すばやさ,138,88,78,149,98,180
494,バシャーモ,ブラストバーン,きあいだま,ソーラービーム,にほんばれ,ひかりのこな,おくびょう,とくこう/すばやさ,148,119,83,154,83,136
495,ラグラージ,アクアテール,じしん,アームハンマー,のろい,ラムのみ,いじっぱり,HP/こうげき,199,169,103,88,103,73
496,ドダイトス,ギガドレイン,やどりぎのタネ,こうごうせい,ドわすれ,たべのこし,なまいき,HP/ぼうぎょ/とくぼう,184,122,139,88,130,62
497,ゴウカザル,ブレイズキック,シャドークロー,かみなりパンチ,ダストシュート,ちからのハチマキ,いじっぱり,こうげき/すばやさ,144,162,84,105,84,152
498,エンペルト,ドリルくちばし,アクアジェット,シャドークロー,いわなだれ,するどいツメ,いじっぱり,こうげき/とくぼう,152,143,101,111,145,73
499,ダグトリオ,だいちのちから,ヘドロばくだん,トライアタック,すなあらし,のんきのおこう,ひかえめ,とくこう/すばやさ,103,83,63,103,83,164
500,ガラガラ,ボーンラッシュ,ほのおのパンチ,かみなりパンチ,いわなだれ,ふといホネ,いじっぱり,こうげき/ぼうぎょ,128,136,154,56,93,58
501,チャーレム,ドレインパンチ,どくづき,みきり,じこさいせい,クラボのみ,ようき,こうげき/すばやさ,128,104,88,65,88,136
502,ヌオー,ダイビング,あくび,のろい,ドわすれ,たべのこし,しんちょう,HP/ぼうぎょ/とくぼう,128,104,88,65,88,136
503,グランブル,からげんき,ほのおのキバ,かみなりのキバ,こおりのキバ,せんせいのツメ,いじっぱり,HP/こうげき,184,98,119,40,108,48
504,ルージュラ,ゆめくい,あくまのキッス,ほろびのうた,くろいまなざし,のんきのおこう,おだやか,とくこう/とくぼう,189,180,88,65,73,58
505,バリヤード,ゆめくい,さいみんじゅつ,ひかりのかべ,リフレクター,ひかりのねんど,おだやか,とくこう/とくぼう,133,56,48,159,152,108
506,ランターン,ダイビング,あやしいひかり,でんじは,メロメロ,ラムのみ,おだやか,HP/とくぼう,108,52,78,144,180,103
507,キノガッサ,ドレインパンチ,ギガドレイン,こうごうせい,やどりぎのタネ,おおきなねっこ,ゆうかん,こうげき/とくこう,224,63,71,89,132,80
508,フォレトス,しっぺがえし,ステルスロック,どくびし,まきびし,オボンのみ,ゆうかん,こうげき/ぼうぎょ,128,191,93,104,73,74
509,エアームド,そらをとぶ,どくどく,かげぶんしん,はねやすめ,たべのこし,しんちょう,HP/ぼうぎょ/とくぼう,154,93,174,47,114,83
510,アブソル,おしおき,いばる,メロメロ,でんじは,せんせいのツメ,いじっぱり,HP/こうげき,164,191,73,79,73,88
511,ナマズン,アクアテール,じしん,いわなだれ,あばれる,キーのみ,いじっぱり,HP/こうげき,209,134,86,80,84,73
512,ハリテヤマ,リベンジ,しっぺがえし,なげつける,ねこだまし,くろいてっきゅう,いじっぱり,HP/こうげき,243,180,73,47,73,63
513,ビークイン,シザークロス,どくどく,かいふくしれい,みちづれ,キーのみ,しんちょう,HP/ぼうぎょ/とくぼう,159,93,136,83,149,53
514,ライチュウ,かみなりパンチ,きあいパンチ,てんしのキッス,でんじは,きあいのハチマキ,ようき,こうげき/すばやさ,128,134,68,92,93,158
515,ジュゴン,れいとうビーム,シグナルビーム,アンコール,かなしばり,ソクノのみ,おだやか,とくこう/とくぼう,158,74,93,114,152,83
516,ライボルト,かみなり,はかいこうせん,でんじは,あまごい,しめったいわ,ひかえめ,とくこう/すばやさ,138,79,73,163,73,149
517,ムクホーク,がむしゃら,つばめがえし,こらえる,でんこうせっか,おうじゃのしるし,ようき,こうげき/すばやさ,153,164,83,56,63,158
518,トリトドン,だくりゅう,どろばくだん,じこさいせい,あくび,フォーカスレンズ,なまいき,とくこう/とくぼう,179,96,81,136,138,46
519,スカタンク,かみくだく,どくどく,いばる,かげぶんしん,カゴのみ,ようき,HP/すばやさ,202,106,80,75,74,140
520,ラフレシア,どくどく,くさむすび,かげぶんしん,メロメロ,くろいヘドロ,ずぶとい,HP/ぼうぎょ/とくぼう,164,83,130,113,124,63
521,ウツボット,タネばくだん,はきだす,のみこむ,たくわえる,くろいヘドロ,いじっぱり,HP/こうげき,179,163,78,101,73,83
522,マルマイン,チャージビーム,でんじは,フラッシュ,いばる,ひかりのこな,おくびょう,とくこう/すばやさ,128,56,83,124,93,202
523,ルンパッパ,やどりぎのタネ,どくどく,かげぶんしん,あまごい,たべのこし,わんぱく,HP/ぼうぎょ/とくぼう,169,83,114,92,134,83
524,ダーテング,ギガドレイン,やどりぎのタネ,かげぶんしん,こうごうせい,たべのこし,おだやか,HP/ぼうぎょ/とくぼう,179,101,94,103,103,93
525,バクオング,からげんき,ほのおのパンチ,かみなりパンチ,れいとうパンチ,いのちのたま,いじっぱり,HP/こうげき,203,148,76,93,76,81
526,オニゴーリ,こおりのキバ,かみくだく,じしん,だいばくはつ,ラムのみ,いじっぱり,HP/こうげき,179,136,93,83,93,93
527,ミミロップ,きあいパンチ,てんしのキッス,メロメロ,でんじは,ひかりのこな,ようき,HP/すばやさ,164,89,97,60,109,163
528,ユキメノコ,れいとうパンチ,ふいうち,いばる,じこあんじ,きあいのハチマキ,いじっぱり,こうげき/すばやさ,138,136,83,83,83,154
529,エテボース,とっておき,でんじは,まもる,ねこだまし,メトロノーム,ようき,こうげき/すばやさ,143,144,79,65,79,174
530,スリーパー,ゆめくい,あくむ,ドレインパンチ,さいみんじゅつ,キーのみ,がんばりや,とくこう/とくぼう,153,86,83,117,159,80
531,ゴローニャ,じしん,ばかぢから,ほのおのパンチ,かみなりパンチ,しろいハーブ,いじっぱり,こうげき/ぼうぎょ,178,169,174,61,78,58
532,サイドン,じしん,ほのおのパンチ,かみなりパンチ,れいとうパンチ,きあいのタスキ,いじっぱり,こうげき/ぼうぎょ,173,191,164,52,58,53
533,ヤドラン,しねんのずつき,アクアテール,じしん,ゆきなだれ,たつじんのおび,いじっぱり,HP/こうげき,194,130,123,101,93,43
534,マタドガス,ダブルアタック,しっぺがえし,どくどく,いばる,オボンのみ,いじっぱり,こうげき/ぼうぎょ,133,147,164,88,83,73
535,ガルーラ,ピヨピヨパンチ,ほのおのパンチ,かみなりパンチ,れいとうパンチ,するどいツメ,いじっぱり,HP/こうげき,204,152,93,47,93,103
536,ケンタロス,からげんき,じしん,いわなだれ,しっぺがえし,いのちのたま,いじっぱり,こうげき/すばやさ,143,158,108,47,83,154
537,フーディン,サイコキネシス,きあいだま,チャージビーム,じこさいせい,ナモのみ,ひかえめ,とくこう/すばやさ,123,56,58,196,98,164
538,ヤドキング,しねんのずつき,アクアテール,じしん,のろい,せんせいのツメ,いじっぱり,HP/こうげき,194,130,93,101,123,43
539,ミルタンク,からげんき,しねんのずつき,きしかいせい,こらえる,カムラのみ,いじっぱり,こうげき/すばやさ,163,136,118,47,83,144
540,チルタリス,りゅうのはどう,あやしいかぜ,うたう,ほろびのうた,かいがらのすず,ひかえめ,とくこう/とくぼう,143,74,103,125,149,93
541,ドクロッグ,ばくれつパンチ,どくづき,かみなりパンチ,れいとうパンチ,こうかくレンズ,いじっぱり,こうげき/すばやさ,151,165,78,89,78,129
542,ユキノオー,ギガドレイン,ぜったいれいど,ねをはる,やどりぎのタネ,おおきなねっこ,ずぶとい,HP/ぼうぎょ/とくぼう,179,94,119,105,119,73
543,ニドクイン,どくづき,ほのおのパンチ,かみなりパンチ,れいとうパンチ,ピントレンズ,いじっぱり,HP/こうげき,189,138,100,79,98,89
544,ニドキング,きあいパンチ,りゅうのはどう,つのドリル,みがわり,ひかりのこな,しんちょう,HP/ぼうぎょ/とくぼう,170,105,111,88,119,98
545,ユレイドル,どくどく,たくわえる,かげぶんしん,ねをはる,たべのこし,わんぱく,HP/ぼうぎょ/とくぼう,175,94,144,84,141,56
546,アーマルド,ブレイククロー,アクアテール,つばめがえし,いばる,ピントレンズ,いじっぱり,こうげき/とくぼう,143,185,113,74,124,58
547,トリデプス,げんしのちから,かえんほうしゃ,１０まんボルト,れいとうビーム,キーのみ,ひかえめ,HP/とくこう,159,58,181,100,151,43
548,フローゼル,たきのぼり,きあいパンチ,かげぶんしん,メロメロ,カゴのみ,ようき,こうげき/すばやさ,153,149,68,88,63,174
549,ムウマージ,シャドーボール,あやしいひかり,ほろびのうた,くろいまなざし,ラムのみ,ひかえめ,とくこう/とくぼう,128,65,73,163,149,118
550,フワライド,しっぺがえし,からげんき,おにび,トリック,くろいヘドロ,いじっぱり,HP/こうげき,249,136,57,92,67,93
551,ゴルダック,たきのぼり,どろばくだん,シャドークロー,つばめがえし,かいがらのすず,いじっぱり,こうげき/すばやさ,148,138,91,97,93,129
552,ニョロボン,たきのぼり,ばくれつパンチ,どくづき,ビルドアップ,のんきのおこう,いじっぱり,HP/こうげき,189,141,108,74,103,83
553,ギャロップ,オーバーヒート,ソーラービーム,スピードスター,にほんばれ,しろいハーブ,ひかえめ,とくこう/すばやさ,133,101,83,136,93,149
554,ベトベトン,どくづき,ほのおのパンチ,かみなりパンチ,れいとうパンチ,たつじんのおび,いじっぱり,HP/こうげき,204,163,88,70,113,63
555,ゲンガー,シャドーボール,ゆめくい,さいみんじゅつ,みがわり,いのちのたま,ひかえめ,とくこう/すばやさ,128,70,73,191,88,154
556,デンリュウ,かみなりパンチ,ほのおのパンチ,きあいパンチ,でんじは,クラボのみ,しんちょう,こうげき/とくぼう,158,119,88,115,147,68
557,ニョロトノ,ダイビング,かわらわり,さいみんじゅつ,ほろびのうた,カゴのみ,わんぱく,HP/こうげき,189,119,96,92,113,83
558,カイロス,シザークロス,リベンジ,じたばた,こらえる,カムラのみ,ようき,こうげき/すばやさ,133,169,113,61,83,141
559,ハッサム,メタルクロー,つじぎり,てっぺき,はねやすめ,オボンのみ,しんちょう,こうげき/とくぼう,138,174,113,62,136,78
560,ヘラクロス,インファイト,つばめがえし,つじぎり,ビルドアップ,ピントレンズ,いじっぱり,こうげき/とくぼう,148,185,88,47,139,98
561,リングマ,アームハンマー,ほのおのパンチ,かみなりパンチ,れいとうパンチ,いのちのたま,いじっぱり,HP/こうげき,189,191,88,79,88,68
562,ヘルガー,ほのおのキバ,かみなりのキバ,きしかいせい,こらえる,きあいのタスキ,ようき,こうげき/すばやさ,143,134,63,110,93,152
563,ドンファン,じしん,ばかぢから,ダストシュート,カウンター,しろいハーブ,いじっぱり,こうげき/ぼうぎょ,158,180,164,65,73,63
564,ホエルオー,うずしお,どくどく,ドわすれ,ねむる,カゴのみ,わんぱく,HP/ぼうぎょ/とくぼう,259,103,86,92,79,73
565,ネンドール,だいちのちから,げんしのちから,シグナルビーム,シャドーボール,リンドのみ,ひかえめ,ぼうぎょ/とくこう,128,74,149,125,133,88
566,ラムパルド,ストーンエッジ,しっぺがえし,ゆきなだれ,なげつける,くろいてっきゅう,ゆうかん,HP/こうげき,196,229,73,78,63,63
567,ドータクン,ゆめくい,さいみんじゅつ,シグナルビーム,トリックルーム,ラムのみ,おだやか,ぼうぎょ/とくぼう,135,91,160,83,176,46
568,ドラピオン,しっぺがえし,どくづき,なげつける,はたきおとす,くろいてっきゅう,いじっぱり,こうげき/ぼうぎょ,138,147,154,65,88,108
569,レントラー,１０まんボルト,シグナルビーム,でんじは,でんじふゆう,ものしりメガネ,ひかえめ,HP/とくこう,179,119,92,152,92,83
570,キュウコン,オーバーヒート,あくのはどう,わるだくみ,あやしいひかり,しろいハーブ,おくびょう,とくこう/すばやさ,141,80,88,125,113,158
571,カイリキー,リベンジ,じしん,しっぺがえし,カウンター,きあいのタスキ,いじっぱり,ぼうぎょ/とくぼう,158,157,124,70,129,68
572,ツボツボ,まきつく,いばる,メロメロ,どくどく,ねばりのかぎづめ,しんちょう,HP/ぼうぎょ/とくぼう,109,23,264,20,290,18
573,ロズレイド,ギガドレイン,やどりぎのタネ,ねをはる,こうごうせい,おおきなねっこ,おだやか,とくこう/とくぼう,128,74,68,169,163,103
